City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kodiak,US,57.79,-152.4072,45.91,66,0,0.0,clear sky
80,Askino,RU,56.0901,56.5783,47.5,70,98,9.37,overcast clouds
81,Tilichiki,RU,60.4667,166.1,38.7,76,87,2.82,overcast clouds
82,Rongai,KE,-0.1733,35.8638,63.28,72,30,2.28,scattered clouds
83,Cap-Aux-Meules,CA,47.3821,-61.8597,48.22,71,64,8.05,broken clouds
84,Lazaro Cardenas,MX,17.9583,-102.2,79.83,82,2,4.23,clear sky
85,Provideniya,RU,64.3833,-173.3,32.11,86,75,11.18,broken clouds
86,Tsnori,GE,41.6209,45.9694,54.63,87,99,1.1,overcast clouds
87,Villa Maria,AR,-32.4075,-63.2402,52.83,87,100,10.27,overcast clouds
88,Airai,TL,-8.9266,125.4092,72.0,68,77,2.3,broken clouds
89,Jamestown,US,42.097,-79.2353,67.64,73,0,5.75,clear sky
90,Saskylakh,RU,71.9167,114.0833,20.19,89,83,19.62,broken clouds
91,Emilio Carranza,MX,19.9711,-96.6114,76.32,82,18,7.74,few clouds
92,Qaanaaq,GL,77.484,-69.3632,10.04,67,12,7.29,few clouds
93,New Norfolk,AU,-42.7826,147.0587,60.93,72,75,2.48,broken clouds
94,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,73.33,99,86,1.41,overcast clouds
95,Lexington,US,37.9887,-84.4777,67.33,63,49,10.07,scattered clouds
96,Levokumskoye,RU,44.8219,44.6606,59.92,49,56,14.14,broken clouds
97,Yanam,IN,16.7333,82.2167,91.17,59,40,5.95,scattered clouds
98,Aranos,NA,-24.1333,19.1167,53.38,21,21,3.36,few clouds
99,Porto Walter,BR,-8.2686,-72.7439,70.05,99,71,2.13,broken clouds
100,Inuvik,CA,68.3499,-133.7218,48.96,42,75,6.91,broken clouds
101,East London,ZA,-33.0153,27.9116,59.94,72,0,8.05,clear sky
102,Ribeira Grande,PT,38.5167,-28.7,60.75,70,85,8.19,light rain
103,Lushoto,TZ,-4.7833,38.2833,60.37,86,43,4.16,scattered clouds
104,Fushan,CN,37.4958,121.2581,65.62,39,97,15.61,overcast clouds
105,Maceio,BR,-9.6658,-35.7353,76.44,88,75,4.61,broken clouds
106,Nikolskoye,RU,59.7035,30.7861,48.7,86,91,13.04,overcast clouds
107,Carutapera,BR,-1.195,-46.02,74.68,95,99,3.2,overcast clouds
108,Wenling,CN,28.3669,121.36,66.4,95,100,7.34,overcast clouds
109,Rio Gallegos,AR,-51.6226,-69.2181,42.85,93,100,12.66,overcast clouds
110,Avarua,CK,-21.2078,-159.775,80.65,89,75,9.22,broken clouds
111,Freeport,US,40.6576,-73.5832,62.98,90,100,8.05,fog
112,Tuatapere,NZ,-46.1333,167.6833,53.35,78,100,5.48,light rain
113,Sambava,MG,-14.2667,50.1667,77.77,71,9,12.48,clear sky
114,Fayetteville,US,35.0527,-78.8784,65.88,95,100,8.05,mist
115,Hithadhoo,MV,-0.6,73.0833,83.82,68,57,13.13,broken clouds
116,Naze,JP,28.3667,129.4833,70.72,90,100,23.87,light rain
117,Ginda,IN,30.6945,78.4932,82.47,24,0,7.27,clear sky
118,Taybad,IR,34.74,60.7756,68.58,47,1,25.32,clear sky
119,Thompson,CA,55.7435,-97.8558,42.96,65,0,8.05,clear sky
120,Castro,BR,-24.7911,-50.0119,51.26,97,4,3.58,clear sky
121,Bima,ID,-8.4667,118.7167,84.67,80,73,1.74,broken clouds
122,Faya,SA,18.3851,42.4509,77.11,19,3,4.14,clear sky
123,Hasaki,JP,35.7333,140.8333,70.29,96,100,9.73,light rain
124,Challapata,BO,-18.9,-66.7667,42.03,33,0,5.03,clear sky
125,Ancud,CL,-41.8697,-73.8203,47.16,75,27,9.06,scattered clouds
126,Chazuta,PE,-6.5742,-76.1367,72.84,99,99,2.28,overcast clouds
127,Chuy,UY,-33.6971,-53.4616,50.5,83,25,2.66,scattered clouds
128,Pecos,US,31.4229,-103.4932,83.23,38,0,0.0,clear sky
129,Fare,PF,-16.7,-151.0167,81.64,68,2,15.95,clear sky
130,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,63.95,73,90,0.2,overcast clouds
131,Asosa,ET,10.0667,34.5333,69.6,64,57,1.95,broken clouds
132,Mugla,TR,37.2303,28.3557,61.48,48,86,2.08,overcast clouds
133,Verkhnevilyuysk,RU,63.4453,120.3167,42.84,79,100,7.09,light rain
134,Beloha,MG,-25.1667,45.05,66.65,76,2,11.21,clear sky
135,Saint-Philippe,RE,-21.3585,55.7679,76.59,68,3,8.21,clear sky
136,Touros,BR,-5.1989,-35.4608,76.78,89,46,9.24,scattered clouds
137,Codrington,AU,-38.2667,141.9667,66.67,65,100,5.57,overcast clouds
