City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
403,Phalombe,MW,66.67,clear sky,-15.8064,35.6507,RIVONIA
407,Benghazi,LY,65.43,light rain,32.1167,20.0667,Tibesti Hotel
411,Gaomi,CN,68.13,broken clouds,36.3833,119.7528,Hanting Express Gaomi Fenghuang Street
420,Along,IN,71.55,overcast clouds,28.1667,94.7667,Hotel West
421,China,MX,74.48,few clouds,25.7,-99.2333,González Reyes Artemio
424,Namibe,AO,71.96,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
427,Nova Olimpia,BR,70.63,scattered clouds,-14.7972,-57.2881,Motel glamour
429,Dubbo,AU,71.73,overcast clouds,-32.25,148.6167,Quality Inn Dubbo International
430,Dejen,ET,68.97,few clouds,10.1667,38.1333,ደጀን
431,Longido,TZ,66.97,overcast clouds,-2.7333,36.6833,Longido Mountain Lodge
432,Picsi,PE,65.82,broken clouds,-6.7178,-79.7697,Fam. Valderrama Montenegro
436,Kwinana,AU,65.93,overcast clouds,-32.25,115.7667,Rockingham Apartments
437,Tateyama,JP,70.11,mist,34.9833,139.8667,Tateyama Seaside Hotel
444,Puerto Baquerizo Moreno,EC,72.45,broken clouds,-0.9,-89.6,Hotel los Algarrobos
445,Wilmington,US,66.11,light rain,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
459,Sarakhs,IR,68.14,broken clouds,36.5449,61.1577,مهمان سرای شرکت گاز
467,Talara,PE,68.38,broken clouds,-4.5772,-81.2719,Hostal Oro Negro
470,Pafos,CY,70.23,clear sky,34.7667,32.4167,Elysium Hotel
475,Wajima,JP,72.28,broken clouds,37.4,136.9,Wajiima Onsen Yashio
476,Longyan,CN,74.25,light rain,25.1072,117.0225,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
484,Los Llanos De Aridane,ES,65.12,scattered clouds,28.6585,-17.9182,Valle Aridane
486,Hami,CN,71.35,overcast clouds,42.8,93.45,Laoyutang Resort
492,Itaituba,BR,72.99,overcast clouds,-4.2761,-55.9836,Hotel Campos
498,Sechura,PE,66.61,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
502,Akropong,GH,74.35,overcast clouds,5.9746,-0.0854,Vip Lodge
506,Darnah,LY,65.97,clear sky,32.767,22.6367,فندق الفردوس
509,Kundiawa,PG,71.06,overcast clouds,-6.0167,144.9667,Pari
512,Murray Bridge,AU,67.12,broken clouds,-35.1167,139.2667,Balcony On Sixth Lodge
514,Yarkovo,RU,66.85,overcast clouds,57.4028,67.0786,"Kfkh ""Ivanov S. M."""
515,Kijang,KR,71.33,moderate rain,35.2442,129.2139,Samyang Beach Villa
525,Zhezkazgan,KZ,69.78,scattered clouds,47.8043,67.7144,Hotel Zumrat
528,Saurimo,AO,66.34,few clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
532,Isangel,VU,74.64,overcast clouds,-19.55,169.2667,Tanna Lodge
536,Nelson Bay,AU,70.11,light rain,-32.7167,152.15,Mantra Nelson Bay
545,Coxim,BR,68.25,clear sky,-18.5067,-54.76,Hotel Avenida
562,Senanga,ZM,67.14,broken clouds,-16.1167,23.2667,Zango lodge
566,Wodonga,AU,69.28,overcast clouds,-36.1167,146.8833,The Hume Inn Motel
582,Arraias,BR,67.08,clear sky,-12.9288,-46.9437,Hotel Japão
590,Tallahassee,US,71.44,broken clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
594,Nara,JP,70.97,light rain,34.6851,135.8049,Guesthouse Nara Komachi
614,Nagua,DO,73.65,overcast clouds,19.3832,-69.8474,Hotel Cambri
625,South Venice,US,73.15,overcast clouds,27.0531,-82.4243,"Island Sun Inn & Suites - Venice, Florida Historic Downtown & Beach Getaway"
629,Sahuaripa,MX,73.78,clear sky,29.05,-109.2333,Estatua de Sahuaripa
630,Sao Goncalo Dos Campos,BR,67.14,scattered clouds,-12.4333,-38.9667,Pousada 2 Amigos
631,Nedjo,ET,71.46,few clouds,9.5046,35.5019,Yerosan Hotel
632,Joaima,BR,68.7,broken clouds,-16.6542,-41.0306,Pousada LAZO
635,Biloela,AU,70.34,overcast clouds,-24.4167,150.5,Silo Motor Inn Biloela
637,Felipe Carrillo Puerto,MX,68.61,clear sky,19.5833,-88.05,Hotel La Ceiba
649,Jieshou,CN,74.75,overcast clouds,33.2634,115.3611,Vatica Jieshou City New Passenger Transport Center Hotel
662,Luau,AO,67.86,clear sky,-10.7073,22.2247,Casa- Bernardo Cândido
682,Carlsbad,US,65.71,clear sky,33.1581,-117.3506,Carlsbad Inn Beach Resort
685,Balta,UA,66.7,overcast clouds,47.9355,29.6198,Bryhantyna Kmp
688,Manacapuru,BR,74.97,overcast clouds,-3.2997,-60.6206,Novo Hotel
689,Isla Mujeres,MX,69.85,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
690,Mumbwa,ZM,65.79,clear sky,-14.9783,27.0619,Mumbwa Motel
696,Ayagoz,KZ,74.3,scattered clouds,47.9714,80.4392,ХАН
699,Nampula,MZ,69.75,few clouds,-15.1165,39.2666,Ruby Backpackers
700,Afua,BR,73.89,overcast clouds,-0.1567,-50.3867,Hotel Dias
705,Changli,CN,69.6,few clouds,39.7042,119.1506,7Days Inn Qinhuangdao Changli Jieyang Street
706,Salym,RU,65.77,clear sky,60.0625,71.4789,Gostinitsa Salym
